Country,Continent,Total
Nepal,Asia,12020
Netherlands,Europe,282
Netherlands,Europe,41
Netherlands,Europe,301
Netherlands,Europe,91
Netherlands,Europe,22990
New Zealand,Australia,2
New Zealand,Australia,0
New Zealand,Australia,2548
Nicaragua,North America,245
Niger,Africa,315
Nigeria,Africa,3155
Macedonia,Europe,9662
Norway,Europe,5213
Oman,Asia,4628
Pakistan,Asia,30644
Palau,Australia,9
Panama,North America,8609
Papua New Guinea,Australia,670
Paraguay,South America,19878
Peru,South America,219539
Philippines,Asia,66188
Poland,Europe,119010
Portugal,Europe,26266
Qatar,Asia,688
Romania,Europe,67736
Russia,Europe,388478
Rwanda,Africa,1468
Saint Kitts and Nevis,North America,47
Saint Lucia,North America,409
Saint Vincent and the Grenadines,North America,123
Samoa,Australia,29
San Marino,Europe,122
Sao Tome and Principe,Africa,77
Saudi Arabia,Asia,9618
Senegal,Africa,1988
Republic of Serbia,Europe,17881
Seychelles,Africa,172
Sierra Leone,Africa,126
Singapore,Asia,1722
Slovakia,Europe,21035
Slovenia,Europe,7078
Solomon Islands,Australia,153
Somalia,Africa,1361
South Africa,Africa,102595
South Sudan,Africa,138
Spain,Europe,119479
Sri Lanka,Asia,16830
Sudan,Africa,5017
Summer Olympics 2020,Asia,0
Suriname,South America,1404
Sweden,Europe,23777
Switzerland,Europe,14244
Syria,Asia,3164
Taiwan,Asia,17672
Tajikistan,Asia,125
United Republic of Tanzania,Africa,846
Thailand,Asia,33918
East Timor,Asia,138
Togo,Africa,290
Tonga,Australia,13
Trinidad and Tobago,North America,4355
Tunisia,Africa,29341
Turkey,Europe,101492
Tuvalu,Australia,0
United States of America,North America,1123836
Uganda,Africa,3630
Ukraine,Europe,119283
United Arab Emirates,Asia,2349
United Kingdom,Europe,12
United Kingdom,Europe,160
United Kingdom,Europe,64
United Kingdom,Europe,37
United Kingdom,Europe,0
United Kingdom,Europe,0
United Kingdom,Europe,111
United Kingdom,Europe,69
United Kingdom,Europe,116
United Kingdom,Europe,161
United Kingdom,Europe,8
United Kingdom,Europe,0
United Kingdom,Europe,1
United Kingdom,Europe,38
United Kingdom,Europe,219948
Uruguay,South America,7617
Uzbekistan,Asia,1637
Vanuatu,Australia,14
Venezuela,South America,5854
Vietnam,Asia,43186
West Bank and Gaza,Asia,5708
Winter Olympics 2022,Asia,0
Yemen,Asia,2159
Zambia,Africa,4057
Zimbabwe,Africa,5671
